dt,coord_lon,coord_lat,weather_0_id,weather_0_main,weather_0_description,weather_0_icon,base,main_temp,main_feels_like,main_temp_min,main_temp_max,main_pressure,main_humidity,main_sea_level,main_grnd_level,visibility,wind_speed,wind_deg,wind_gust,clouds_all,sys_type,sys_id,sys_country,sys_sunrise,sys_sunset,timezone,id,name,cod
2025-02-07 23:35:02,13.405,52.52,804,Clouds,overcast clouds,04n,stations,1.08,-3.91,0.55,1.66,1030,77,1030,1024,10000,5.66,90,,100,2,2009543,DE,2025-02-08 01:36:06,2025-02-08 11:05:07,3600,6545310,Mitte,200
2025-02-07 23:40:03,13.405,52.52,804,Clouds,overcast clouds,04n,stations,1.13,-3.85,0.55,1.66,1030,76,1030,1024,10000,5.66,90,,100,2,2009543,DE,2025-02-08 01:36:06,2025-02-08 11:05:07,3600,6545310,Mitte,200
2025-02-07 23:45:02,13.405,52.52,804,Clouds,overcast clouds,04n,stations,1.11,-3.88,0.55,1.66,1030,76,1030,1024,10000,5.66,90,,100,2,2009543,DE,2025-02-08 01:36:06,2025-02-08 11:05:07,3600,6545310,Mitte,200
2025-02-07 23:45:12,13.405,52.52,804,Clouds,overcast clouds,04n,stations,1.11,-3.88,0.55,1.66,1030,76,1030,1024,10000,5.66,90,,100,2,2009543,DE,2025-02-08 01:36:06,2025-02-08 11:05:07,3600,6545310,Mitte,200
2025-02-07 23:45:12,13.405,52.52,804,Clouds,overcast clouds,04n,stations,1.11,-3.88,0.55,1.66,1030,76,1030,1024,10000,5.66,90,,100,2,2009543,DE,2025-02-08 01:36:06,2025-02-08 11:05:07,3600,6545310,Mitte,200
2025-02-07 23:45:15,13.405,52.52,804,Clouds,overcast clouds,04n,stations,1.11,-3.88,0.55,1.66,1030,76,1030,1024,10000,5.66,90,,100,2,2009543,DE,2025-02-08 01:36:06,2025-02-08 11:05:07,3600,6545310,Mitte,200
2025-02-07 23:45:17,13.405,52.52,804,Clouds,overcast clouds,04n,stations,1.11,-3.88,0.55,1.66,1030,76,1030,1024,10000,5.66,90,,100,2,2009543,DE,2025-02-08 01:36:06,2025-02-08 11:05:07,3600,6545310,Mitte,200
2025-02-07 23:45:19,13.405,52.52,804,Clouds,overcast clouds,04n,stations,1.11,-3.88,0.55,1.66,1030,76,1030,1024,10000,5.66,90,,100,2,2009543,DE,2025-02-08 01:36:06,2025-02-08 11:05:07,3600,6545310,Mitte,200
2025-02-07 23:45:21,13.405,52.52,804,Clouds,overcast clouds,04n,stations,1.11,-3.88,0.55,1.66,1030,76,1030,1024,10000,5.66,90,,100,2,2009543,DE,2025-02-08 01:36:06,2025-02-08 11:05:07,3600,6545310,Mitte,200
2025-02-07 23:45:23,13.405,52.52,804,Clouds,overcast clouds,04n,stations,1.11,-3.88,0.55,1.66,1030,76,1030,1024,10000,5.66,90,,100,2,2009543,DE,2025-02-08 01:36:06,2025-02-08 11:05:07,3600,6545310,Mitte,200
2025-02-07 23:45:25,13.405,52.52,804,Clouds,overcast clouds,04n,stations,1.11,-3.88,0.55,1.66,1030,76,1030,1024,10000,5.66,90,,100,2,2009543,DE,2025-02-08 01:36:06,2025-02-08 11:05:07,3600,6545310,Mitte,200
2025-02-07 23:45:27,13.405,52.52,804,Clouds,overcast clouds,04n,stations,1.11,-3.88,0.55,1.66,1030,76,1030,1024,10000,5.66,90,,100,2,2009543,DE,2025-02-08 01:36:06,2025-02-08 11:05:07,3600,6545310,Mitte,200
2025-02-07 23:50:03,13.4,52.52,804,Clouds,overcast clouds,04n,stations,1.16,-3.81,0.59,1.7,1030,76,1030,1024,10000,5.66,90,,100,2,2009543,DE,2025-02-08 01:36:07,2025-02-08 11:05:08,3600,6545310,Mitte,200
2025-02-07 23:55:02,13.405,52.52,804,Clouds,overcast clouds,04n,stations,1.08,-3.99,0.55,1.66,1030,76,1030,1024,10000,5.81,99,8.49,100,2,2009543,DE,2025-02-08 01:36:06,2025-02-08 11:05:07,3600,6545310,Mitte,200
2025-02-08 00:00:04,13.4,52.52,804,Clouds,overcast clouds,04n,stations,1.01,-4.29,0.13,1.7,1030,73,1030,1024,10000,6.26,93,8.49,100,2,2009543,DE,2025-02-08 01:36:07,2025-02-08 11:05:08,3600,6545310,Mitte,200
2025-02-08 00:05:04,13.4,52.52,804,Clouds,overcast clouds,04n,stations,1.01,-4.29,0.13,1.7,1030,73,1030,1024,10000,6.26,93,8.49,100,2,2009543,DE,2025-02-08 01:36:07,2025-02-08 11:05:08,3600,6545310,Mitte,200
2025-02-08 00:10:03,13.4,52.52,804,Clouds,overcast clouds,04n,stations,1.23,-3.72,0.63,1.7,1030,76,1030,1024,10000,5.66,90,,100,2,2009543,DE,2025-02-08 01:36:07,2025-02-08 11:05:08,3600,6545310,Mitte,200
2025-02-08 00:15:04,13.405,52.52,804,Clouds,overcast clouds,04n,stations,1.19,-3.77,0.59,1.66,1030,76,1030,1024,10000,5.66,90,,100,2,2009543,DE,2025-02-08 01:36:06,2025-02-08 11:05:07,3600,6545310,Mitte,200
2025-02-08 00:20:02,13.405,52.52,804,Clouds,overcast clouds,04n,stations,1.19,-3.77,0.59,1.66,1030,76,1030,1024,10000,5.66,90,,100,2,2009543,DE,2025-02-08 01:36:06,2025-02-08 11:05:07,3600,6545310,Mitte,200
2025-02-08 07:15:03,13.405,52.52,800,Clear,clear sky,01d,stations,5.09,1.9,4.07,6.1,1029,68,1029,1023,10000,4.12,100,,0,2,2009543,DE,2025-02-08 01:36:06,2025-02-08 11:05:07,3600,6545310,Mitte,200
2025-02-08 07:20:02,13.405,52.52,800,Clear,clear sky,01d,stations,5.09,1.9,4.07,6.1,1029,68,1029,1023,10000,4.12,100,,0,2,2009543,DE,2025-02-08 01:36:06,2025-02-08 11:05:07,3600,6545310,Mitte,200
2025-02-08 07:25:03,13.405,52.52,800,Clear,clear sky,01d,stations,5.09,1.9,4.07,6.1,1029,68,1029,1023,10000,4.12,100,,0,2,2009543,DE,2025-02-08 01:36:06,2025-02-08 11:05:07,3600,6545310,Mitte,200
2025-02-08 07:30:04,13.405,52.52,800,Clear,clear sky,01d,stations,5.07,1.88,4.07,5.6,1029,67,1029,1023,10000,4.12,100,,0,2,2009543,DE,2025-02-08 01:36:06,2025-02-08 11:05:07,3600,6545310,Mitte,200
2025-02-08 07:35:02,13.405,52.52,800,Clear,clear sky,01d,stations,5.34,2.02,4.07,6.1,1029,67,1029,1023,10000,4.47,93,7.6,0,2,2009543,DE,2025-02-08 01:36:06,2025-02-08 11:05:07,3600,7576815,Alt-K̦lln,200
